subfolder,name,info,present,absent,count_years,consistency,first_year,last_year,new_flag,discontinued_flag,status
DP02,DP02_0150E,Estimate!!COMPUTERS AND INTERNET USE!!Total Households,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012",11,consistent,2013,2023,new,NA,new
DP02,DP02_0150M,Margin of Error!!COMPUTERS AND INTERNET USE!!Total Households,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012",11,consistent,2013,2023,new,NA,new
DP02,DP02_0150PE,Percent!!COMPUTERS AND INTERNET USE!!Total Households,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012",11,consistent,2013,2023,new,NA,new
DP02,DP02_0150PM,Percent Margin of Error!!COMPUTERS AND INTERNET USE!!Total Households,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012",11,consistent,2013,2023,new,NA,new
DP02,DP02_0151E,Estimate!!COMPUTERS AND INTERNET USE!!Total Households!!With a computer,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012",11,consistent,2013,2023,new,NA,new
DP02,DP02_0151M,Margin of Error!!COMPUTERS AND INTERNET USE!!Total Households!!With a computer,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012",11,consistent,2013,2023,new,NA,new
DP02,DP02_0151PE,Percent!!COMPUTERS AND INTERNET USE!!Total Households!!With a computer,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012",11,consistent,2013,2023,new,NA,new
DP02,DP02_0151PM,Percent Margin of Error!!COMPUTERS AND INTERNET USE!!Total Households!!With a computer,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012",11,consistent,2013,2023,new,NA,new
DP02,DP02_0152E,Estimate!!COMPUTERS AND INTERNET USE!!Total Households!!With a broadband Internet subscription,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012",11,consistent,2013,2023,new,NA,new
DP02,DP02_0152M,Margin of Error!!COMPUTERS AND INTERNET USE!!Total Households!!With a broadband Internet subscription,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012",11,consistent,2013,2023,new,NA,new
DP02,DP02_0152PE,Percent!!COMPUTERS AND INTERNET USE!!Total Households!!With a broadband Internet subscription,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012",11,consistent,2013,2023,new,NA,new
DP02,DP02_0152PM,Percent Margin of Error!!COMPUTERS AND INTERNET USE!!Total Households!!With a broadband Internet subscription,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012",11,consistent,2013,2023,new,NA,new
DP02,DP02_0153E,Estimate!!COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription,"2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",5,consistent,2019,2023,new,NA,new
DP02,DP02_0153M,Margin of Error!!COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription,"2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",5,consistent,2019,2023,new,NA,new
DP02,DP02_0153PE,Percent!!COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription,"2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",5,consistent,2019,2023,new,NA,new
DP02,DP02_0153PM,Percent Margin of Error!!COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription,"2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",5,consistent,2019,2023,new,NA,new
DP02,DP02_0154E,Estimate!!COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription,"2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",4,consistent,2020,2023,new,NA,new
DP02,DP02_0154M,Margin of Error!!COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription,"2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",4,consistent,2020,2023,new,NA,new
DP02,DP02_0154PE,Percent!!COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription,"2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",4,consistent,2020,2023,new,NA,new
DP02,DP02_0154PM,Percent Margin of Error!!COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription,"2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",4,consistent,2020,2023,new,NA,new
DP04,DP04_0142E,Estimate!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP04,DP04_0142M,Margin of Error!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP04,DP04_0142PE,Percent!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP04,DP04_0142PM,Percent Margin of Error!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP04,DP04_0143E,Estimate!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Not computed,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP04,DP04_0143M,Margin of Error!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Not computed,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP04,DP04_0143PE,Percent!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Not computed,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP04,DP04_0143PM,Percent Margin of Error!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Not computed,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP05,DP05_0082E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP05,DP05_0082M,"Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP05,DP05_0082PE,"Percent!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP05,DP05_0082PM,"Percent Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP05,DP05_0083E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP05,DP05_0083M,"Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP05,DP05_0083PE,"Percent!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP05,DP05_0083PM,"Percent Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP05,DP05_0084E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP05,DP05_0084M,"Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP05,DP05_0084PE,"Percent!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP05,DP05_0084PM,"Percent Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014",9,consistent,2015,2023,new,NA,new
DP05,DP05_0085E,"Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0085M,"Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0085PE,"Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0085PM,"Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0086E,Estimate!!Total housing units,"2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0086M,Margin of Error!!Total housing units,"2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0086PE,Percent Estimate!!Total housing units,"2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0086PM,Percent Margin of Error!!Total housing units,"2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0087E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0087M,"Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0087PE,"Percent Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0087PM,"Percent Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0088E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0088M,"Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0088PE,"Percent Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0088PM,"Percent Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0089E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0089M,"Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0089PE,"Percent Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0089PM,"Percent Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","2017, 2018, 2019, 2020, 2021, 2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016",7,consistent,2017,2023,new,NA,new
DP05,DP05_0090E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",2,consistent,2022,2023,new,NA,new
DP05,DP05_0090M,"Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",2,consistent,2022,2023,new,NA,new
DP05,DP05_0090PE,"Percent!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",2,consistent,2022,2023,new,NA,new
DP05,DP05_0090PM,"Percent Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",2,consistent,2022,2023,new,NA,new
DP05,DP05_0091E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",2,consistent,2022,2023,new,NA,new
DP05,DP05_0091M,"Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",2,consistent,2022,2023,new,NA,new
DP05,DP05_0091PE,"Percent!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",2,consistent,2022,2023,new,NA,new
DP05,DP05_0091PM,"Percent Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","2022, 2023","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",2,consistent,2022,2023,new,NA,new
DP05,DP05_0092E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population",2023,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",1,consistent,2023,2023,new,NA,new
DP05,DP05_0092M,"Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population",2023,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",1,consistent,2023,2023,new,NA,new
DP05,DP05_0092PE,"Percent!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population",2023,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",1,consistent,2023,2023,new,NA,new
DP05,DP05_0092PM,"Percent Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population",2023,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",1,consistent,2023,2023,new,NA,new
DP05,DP05_0093E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male",2023,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",1,consistent,2023,2023,new,NA,new
DP05,DP05_0093M,"Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male",2023,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",1,consistent,2023,2023,new,NA,new
DP05,DP05_0093PE,"Percent!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male",2023,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",1,consistent,2023,2023,new,NA,new
DP05,DP05_0093PM,"Percent Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male",2023,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",1,consistent,2023,2023,new,NA,new
DP05,DP05_0094E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female",2023,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",1,consistent,2023,2023,new,NA,new
DP05,DP05_0094M,"Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female",2023,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",1,consistent,2023,2023,new,NA,new
DP05,DP05_0094PE,"Percent!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female",2023,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",1,consistent,2023,2023,new,NA,new
DP05,DP05_0094PM,"Percent Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female",2023,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",1,consistent,2023,2023,new,NA,new
